,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sechura,-5.5569,-80.8222,66.65,80,57,12.08,PE,1634784151
1,kismayo,-0.3582,42.5454,77.04,82,90,10.6,SO,1634784152
2,punta arenas,-53.15,-70.9167,44.71,57,75,13.8,CL,1634784152
3,thompson,55.7435,-97.8558,26.76,74,40,5.75,CA,1634784152
4,methoni,36.8197,21.7049,60.22,69,2,5.79,GR,1634784153
5,busselton,-33.65,115.3333,62.04,63,96,13.51,AU,1634784153
6,bambous virieux,-20.3428,57.7575,72.21,94,40,8.05,MU,1634784153
7,cabedelo,-6.9811,-34.8339,79.47,82,38,6.55,BR,1634784154
8,arraial do cabo,-22.9661,-42.0278,62.56,100,75,2.3,BR,1634784154
9,vytegra,61.0064,36.4481,48.18,94,100,14.76,RU,1634784154
10,bridlington,54.0831,-0.1919,45.05,91,86,29.33,GB,1634784155
11,port alfred,-33.5906,26.891,62.65,79,72,11.01,ZA,1634784155
12,rikitea,-23.1203,-134.9692,74.84,71,50,19.89,PF,1634784155
13,ushuaia,-54.8,-68.3,46.06,42,20,10.36,AR,1634784155
14,castro,-24.7911,-50.0119,49.1,98,14,7.76,BR,1634784156
15,narsaq,60.9167,-46.05,26.82,37,0,3.71,GL,1634784156
16,saint-augustin,51.226,-58.6502,44.89,81,100,13.44,CA,1634784156
17,maua,-23.6678,-46.4614,58.35,94,93,4.94,BR,1634784157
18,kodiak,57.79,-152.4072,38.64,92,90,13.09,US,1634784157
19,santiago,-33.4569,-70.6483,60.85,64,0,8.05,CL,1634784124
20,bilibino,68.0546,166.4372,4.1,94,100,2.89,RU,1634784157
21,zemio,5.0314,25.1361,69.12,98,100,2.35,CF,1634784158
22,abu dhabi,24.4667,54.3667,80.71,83,0,0.0,AE,1634784158
23,coihaique,-45.5752,-72.0662,46.35,49,0,8.05,CL,1634784158
24,victoria,22.2855,114.1577,84.38,75,100,1.99,HK,1634783886
25,tura,25.5198,90.2201,76.35,90,78,3.94,IN,1634784012
26,northam,51.0333,-4.2167,53.65,71,73,24.92,GB,1634784159
27,puerto ayora,-0.7393,-90.3518,69.73,89,85,6.26,EC,1634784159
28,longyearbyen,78.2186,15.6401,12.04,73,20,10.36,SJ,1634784064
29,sitka,57.0531,-135.33,48.09,81,90,11.5,US,1634784160
30,saskylakh,71.9167,114.0833,17.47,95,100,8.99,RU,1634784160
31,lasa,46.6166,10.7002,54.34,94,99,6.22,IT,1634784160
32,batticaloa,7.7102,81.6924,80.82,79,95,3.91,LK,1634784161
33,pangnirtung,66.1451,-65.7125,27.95,78,13,4.61,CA,1634784161
34,albany,42.6001,-73.9662,63.01,70,37,4.32,US,1634784161
35,east london,-33.0153,27.9116,62.26,78,43,12.06,ZA,1634783936
36,airai,-8.9266,125.4092,82.2,30,58,2.33,TL,1634784162
37,cidreira,-30.1811,-50.2056,62.91,73,62,17.02,BR,1634784162
38,baoro,5.6667,15.9667,67.39,98,100,0.85,CF,1634784162
39,marzuq,14.4,46.4667,71.6,53,96,3.29,YE,1634784163
40,chicama,-7.8447,-79.1469,59.54,85,87,6.42,PE,1634784163
41,kabo,7.6994,18.629,70.45,95,100,2.59,CF,1634784163
42,les escoumins,48.1111,-69.0236,42.15,87,99,5.3,CA,1634784164
43,aykhal,66.0,111.5,35.08,97,100,24.14,RU,1634784164
44,chuy,-33.6971,-53.4616,53.47,83,1,5.88,UY,1634784164
45,bongandanga,1.5,21.05,69.46,100,100,1.32,CD,1634784165
46,ribeira grande,38.5167,-28.7,70.05,63,81,4.52,PT,1634784165
47,valky,49.8387,35.6207,48.06,84,100,18.63,UA,1634784166
48,tacuarembo,-31.7333,-55.9833,58.03,76,97,10.78,UY,1634783896
49,aransas pass,27.9095,-97.15,77.99,86,1,1.01,US,1634784166
50,cepelare,41.7333,24.6833,29.82,79,0,3.85,BG,1634784167
51,ponta do sol,32.6667,-17.1,74.01,78,100,7.63,PT,1634784167
52,polunochnoye,60.8697,60.4153,24.82,87,11,3.76,RU,1634784167
53,andrews,32.3187,-102.5457,75.27,31,1,0.0,US,1634784168
54,mataura,-46.1927,168.8643,58.96,39,3,4.38,NZ,1634784168
55,tiksi,71.6872,128.8694,12.87,93,100,5.93,RU,1634784168
56,new norfolk,-42.7826,147.0587,72.91,40,80,5.01,AU,1634784168
57,vestmannaeyjar,63.4427,-20.2734,44.74,79,95,28.01,IS,1634784169
58,torbay,47.6666,-52.7314,49.57,95,90,12.66,CA,1634784169
59,hermanus,-34.4187,19.2345,61.9,79,32,2.01,ZA,1634784169
60,nikolskoye,59.7035,30.7861,53.87,90,100,12.33,RU,1634784170
61,bengkulu,-3.8004,102.2655,82.6,69,21,3.33,ID,1634784170
62,kruisfontein,-34.0033,24.7314,61.38,57,100,4.72,ZA,1634784170
63,alexandria,31.2156,29.9553,69.76,68,20,8.05,EG,1634784171
64,geraldton,-28.7667,114.6,71.13,60,75,12.66,AU,1634784171
65,hofn,64.2539,-15.2082,34.45,61,76,11.63,IS,1634784145
66,otane,-39.8833,176.6333,57.0,63,100,6.64,NZ,1634784172
67,nanortalik,60.1432,-45.2371,36.3,56,14,2.28,GL,1634784173
68,jamestown,42.097,-79.2353,60.12,78,20,1.01,US,1634784174
69,grand gaube,-20.0064,57.6608,72.37,78,19,5.99,MU,1634784174
70,tadine,-21.55,167.8833,73.17,88,100,14.88,NC,1634784174
71,khatanga,71.9667,102.5,21.99,97,100,3.62,RU,1634784175
72,empangeni,-28.762,31.8933,57.2,83,5,5.86,ZA,1634784175
73,sibolga,1.7427,98.7792,85.19,63,77,3.76,ID,1634784175
74,georgetown,5.4112,100.3354,82.89,85,20,2.3,MY,1634783922
75,elk plain,47.0532,-122.3976,55.15,87,90,1.01,US,1634783944
76,hobart,-42.8794,147.3294,73.26,47,40,7.0,AU,1634784176
77,port elizabeth,-33.918,25.5701,57.49,100,90,4.61,ZA,1634784176
78,bluff,-46.6,168.3333,49.24,62,12,11.45,NZ,1634784176
79,tuktoyaktuk,69.4541,-133.0374,21.2,100,20,6.91,CA,1634784177
80,bubaque,11.2833,-15.8333,81.9,79,100,11.99,GW,1634784177
81,dryden,49.7833,-92.7503,32.29,74,1,9.22,CA,1634784177
82,bredasdorp,-34.5322,20.0403,58.28,96,76,2.13,ZA,1634784178
83,esperance,-33.8667,121.9,66.04,54,6,19.35,AU,1634784178
84,atherton,53.5237,-2.4935,48.88,87,93,8.01,GB,1634784178
85,grajewo,53.6473,22.4554,56.98,62,100,16.67,PL,1634784179
86,saint george,37.1041,-113.5841,64.94,38,1,1.99,US,1634784179
87,tasiilaq,65.6145,-37.6368,46.56,47,86,10.09,GL,1634784146
88,bintulu,3.1667,113.0333,86.41,74,40,3.44,MY,1634784179
89,vuktyl,63.8567,57.3094,29.07,93,95,4.52,RU,1634784180
90,shimoda,34.6667,138.95,64.76,57,100,10.4,JP,1634784180
91,santiago del estero,-27.7951,-64.2615,70.81,31,0,11.12,AR,1634784159
92,yellowknife,62.456,-114.3525,41.41,82,40,16.11,CA,1634783882
93,mujiayingzi,42.1167,118.7833,48.22,30,10,13.98,CN,1634784180
94,mombetsu,44.3525,143.3525,46.42,100,75,8.05,JP,1634784181
95,katsuura,35.1333,140.3,66.18,55,98,9.04,JP,1634784182
96,moranbah,-22.0016,148.0466,94.46,19,3,5.99,AU,1634784182
97,cape town,-33.9258,18.4232,62.11,64,0,13.8,ZA,1634784182
98,kitob,39.0843,66.8332,55.98,22,100,2.71,UZ,1634784183
99,porto novo,6.4965,2.6036,80.42,91,100,5.28,BJ,1634784183
100,sept-iles,50.2001,-66.3821,49.05,88,90,1.01,CA,1634784184
101,chumikan,54.7183,135.315,34.05,73,100,19.71,RU,1634784184
102,itoman,26.1247,127.6694,77.77,90,75,10.36,JP,1634784184
103,kapaa,22.0752,-159.319,82.38,69,1,1.99,US,1634784185
104,codrington,-38.2667,141.9667,71.08,58,99,10.51,AU,1634784185
105,dolores hidalgo,21.1561,-100.9308,68.45,83,7,6.96,MX,1634784185
106,zhuhai,22.2769,113.5678,84.7,78,40,5.75,CN,1634784186
107,butaritari,3.0707,172.7902,81.66,74,47,12.55,KI,1634784186
108,clyde river,70.4692,-68.5914,24.04,93,97,5.97,CA,1634784186
109,port lincoln,-34.7333,135.8667,67.98,54,2,12.26,AU,1634784186
110,camana,-16.6228,-72.7111,63.21,82,100,9.15,PE,1634784187
