,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.37,-73.41,69.8,77,75,4.7,US,1596853639
1,tasiilaq,65.61,-37.64,44.6,75,21,18.34,GL,1596853639
2,te anau,-45.42,167.72,45.39,63,5,1.1,NZ,1596853423
3,east london,-33.02,27.91,54.1,69,49,9.31,ZA,1596853639
4,grand gaube,-20.01,57.66,64.4,88,40,3.36,MU,1596853639
5,albany,42.6,-73.97,73.0,83,100,4.25,US,1596853639
6,smithers,54.78,-127.17,59.0,62,75,4.7,CA,1596853639
7,ahipara,-35.17,173.17,56.57,78,69,19.33,NZ,1596853613
8,ushuaia,-54.8,-68.3,37.4,74,75,4.52,AR,1596853426
9,hilo,19.73,-155.09,78.8,83,90,6.93,US,1596853640
10,mar del plata,-38.0,-57.56,48.0,100,0,7.11,AR,1596853405
11,puerto ayora,-0.74,-90.35,66.99,90,99,4.0,EC,1596853414
12,port alfred,-33.59,26.89,54.5,69,45,8.25,ZA,1596853641
13,camana,-16.62,-72.71,58.91,76,0,5.73,PE,1596853641
14,pevek,69.7,170.31,38.44,96,100,11.81,RU,1596853412
15,kapaa,22.08,-159.32,84.2,74,90,12.75,US,1596853641
16,elk plain,47.05,-122.4,75.0,40,75,4.56,US,1596853641
17,nanortalik,60.14,-45.24,45.52,90,100,3.36,GL,1596853641
18,flinders,-34.58,150.86,60.01,96,75,5.01,AU,1596853562
19,lebu,-37.62,-73.65,47.7,88,100,6.55,CL,1596853641
20,mount isa,-20.73,139.5,66.2,37,0,10.29,AU,1596853641
21,tirschenreuth,49.88,12.33,62.01,89,0,2.48,DE,1596853641
22,butaritari,3.07,172.79,84.18,73,11,18.03,KI,1596853641
23,goure,13.98,10.27,73.0,91,92,1.01,NE,1596853641
24,hithadhoo,-0.6,73.08,82.62,79,49,11.61,MV,1596853421
25,nishihara,26.18,127.76,89.6,66,40,12.75,JP,1596853642
26,beringovskiy,63.05,179.32,49.89,89,100,11.72,RU,1596853642
27,khatanga,71.97,102.5,56.88,80,100,17.22,RU,1596853642
28,westfield,42.13,-72.75,75.2,73,75,2.24,US,1596853502
29,emba,48.83,58.14,70.79,50,36,4.25,KZ,1596853642
30,inirida,3.87,-67.92,71.22,92,9,1.43,CO,1596853642
31,vardo,70.37,31.11,52.43,86,91,6.76,NO,1596853426
32,sibu,2.3,111.82,86.0,74,20,2.24,MY,1596853642
33,leh,34.17,77.58,66.96,35,21,5.06,IN,1596853469
34,hermanus,-34.42,19.23,53.01,43,8,1.99,ZA,1596853554
35,nikolskoye,59.7,30.79,57.0,100,40,6.71,RU,1596853642
36,nova olinda do norte,-3.89,-59.09,77.9,55,7,1.81,BR,1596853524
37,mataura,-46.19,168.86,48.0,88,91,5.99,NZ,1596853642
38,kampene,-3.6,26.67,69.69,68,0,1.45,CD,1596853643
39,saldanha,-33.01,17.94,42.8,75,99,2.24,ZA,1596853643
40,nha trang,12.25,109.18,87.8,74,20,1.12,VN,1596853643
41,mazamari,-11.33,-74.53,69.33,60,0,1.92,PE,1596853643
42,chokurdakh,70.63,147.92,52.14,81,100,11.92,RU,1596853643
43,castro,-24.79,-50.01,53.4,70,8,2.64,BR,1596853643
44,fortuna,40.6,-124.16,64.0,72,0,1.01,US,1596853468
45,bluff,-46.6,168.33,48.0,88,95,5.99,NZ,1596853643
46,yulara,-25.24,130.99,53.6,58,0,1.12,AU,1596853573
47,dikson,73.51,80.55,45.03,99,99,17.07,RU,1596853407
48,hobart,-42.88,147.33,52.0,57,20,8.05,AU,1596853643
49,tuktoyaktuk,69.45,-133.04,55.4,87,75,13.87,CA,1596853643
50,iqaluit,63.75,-68.51,51.8,62,75,8.05,CA,1596853643
51,farafangana,-22.82,47.83,66.31,85,93,16.08,MG,1596853643
52,rikitea,-23.12,-134.97,70.07,74,0,18.95,PF,1596853400
53,faanui,-16.48,-151.75,79.0,74,0,13.73,PF,1596853644
54,atuona,-9.8,-139.03,78.98,74,21,23.02,PF,1596853644
55,vaini,-21.2,-175.2,75.2,64,20,6.93,TO,1596853644
56,angoche,-16.23,39.91,71.04,74,47,15.19,MZ,1596853644
57,norman wells,65.28,-126.83,64.4,72,75,6.93,CA,1596853437
58,atar,20.52,-13.05,90.46,22,0,12.33,MR,1596853644
59,busselton,-33.65,115.33,61.0,42,74,21.0,AU,1596853644
60,tiksi,71.69,128.87,48.22,86,99,7.18,RU,1596853644
61,lokosovo,61.13,74.82,66.31,60,0,4.52,RU,1596853644
62,punta arenas,-53.15,-70.92,37.4,64,57,9.17,CL,1596853381
63,carutapera,-1.2,-46.02,76.03,85,0,6.15,BR,1596853644
64,dorado,18.46,-66.27,82.4,88,40,9.17,PR,1596853486
65,airai,-8.93,125.41,72.68,55,32,2.68,TL,1596853644
66,keflavik,64.0,-22.56,46.4,87,75,16.11,IS,1596853644
67,cape town,-33.93,18.42,45.0,93,35,4.7,ZA,1596853408
68,puerto escondido,15.85,-97.07,81.45,76,100,5.86,MX,1596853645
69,bambous virieux,-20.34,57.76,64.4,88,40,3.36,MU,1596853645
70,port elizabeth,-33.92,25.57,46.4,93,76,3.36,ZA,1596853645
71,arraial do cabo,-22.97,-42.03,70.66,77,0,20.2,BR,1596853645
72,staryy nadym,65.61,72.68,66.79,65,100,8.08,RU,1596853645
73,bull savanna,17.89,-77.59,77.05,83,21,8.01,JM,1596853645
74,kavieng,-2.57,150.8,78.3,89,100,15.95,PG,1596853645
75,kattivakkam,13.22,80.32,87.8,62,40,5.82,IN,1596853645
76,zhezkazgan,47.8,67.71,68.0,77,75,15.66,KZ,1596853645
77,codrington,-38.27,141.97,50.31,89,100,14.32,AU,1596853433
78,kudahuvadhoo,2.67,72.89,82.98,80,100,12.84,MV,1596853645
79,gunnedah,-30.98,150.25,57.2,82,75,11.41,AU,1596853645
80,komsomolskiy,40.43,71.72,80.6,42,0,4.7,UZ,1596853441
81,surt,31.21,16.59,76.14,77,0,4.97,LY,1596853645
82,mananara,-16.17,49.77,66.22,81,98,2.93,MG,1596853646
83,guerrero negro,27.98,-114.06,70.02,72,0,17.63,MX,1596853646
84,ust-kishert,57.37,57.25,55.87,92,100,15.1,RU,1596853646
85,rapid city,44.08,-103.23,75.2,44,1,10.29,US,1596853614
86,villa maria,-32.41,-63.24,54.0,76,99,1.01,AR,1596853646
87,tabory,58.52,64.55,65.79,77,30,2.64,RU,1596853646
88,leningradskiy,69.38,178.42,40.98,82,100,7.07,RU,1596853646
89,storforshei,66.4,14.52,59.0,92,90,2.93,NO,1596853646
